Title,Body,Status,Labels,Repository
"ARC-01 Definir ADRs e mapa de bounded contexts","Epic: Plataforma Base\nPrioridade: P0\nSP: 5\nSprint alvo: Sprint 1\nResponsável (papel): Arquiteto de Software\nResponsável sugerido: Jorge Oliveira\nDependências: -\nCritério de aceite: ADRs versionados; mapa de contextos aprovado","Todo","epic:plataforma-base,priority:p0,sprint:1,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"ARC-02 Criar template de microsserviço Clean Architecture","Epic: Plataforma Base\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 1\nResponsável (papel): Tech Lead Backend\nResponsável sugerido: Dev Backend 1\nDependências: ARC-01\nCritério de aceite: Novo serviço criado em <30 min; testes base verdes","Todo","epic:plataforma-base,priority:p0,sprint:1,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"ARC-03 Padronizar versionamento de APIs e breaking changes","Epic: Plataforma Base\nPrioridade: P0\nSP: 3\nSprint alvo: Sprint 1\nResponsável (papel): Tech Lead Backend\nResponsável sugerido: Dev Backend 1\nDependências: ARC-01\nCritério de aceite: Política publicada; breaking changes bloqueadas em CI","Todo","epic:plataforma-base,priority:p0,sprint:1,sp:3","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"CICD-01 Pipeline baseline de qualidade","Epic: CI/CD\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 1\nResponsável (papel): DevOps Engineer\nResponsável sugerido: DevOps 1\nDependências: ARC-02\nCritério de aceite: PR só merge com checks verdes","Todo","epic:cicd,priority:p0,sprint:1,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"MS-01 Implementar Auth Service (JWT + RBAC)","Epic: Microsserviços\nPrioridade: P0\nSP: 13\nSprint alvo: Sprint 2\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 2\nDependências: ARC-02\nCritério de aceite: JWT válido; RBAC admin/profissional","Todo","epic:microservicos,priority:p0,sprint:2,sp:13","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"MS-02 Implementar Patient Service","Epic: Microsserviços\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 2\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 1\nDependências: ARC-02\nCritério de aceite: CRUD completo; teste de contrato aprovado","Todo","epic:microservicos,priority:p0,sprint:2,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"SEC-01 Gestão de segredos e hardening inicial","Epic: Segurança/LGPD\nPrioridade: P0\nSP: 5\nSprint alvo: Sprint 2\nResponsável (papel): Security Engineer\nResponsável sugerido: SecOps 1\nDependências: CICD-01\nCritério de aceite: Segredos em secret manager; varredura sem críticos","Todo","epic:seguranca-lgpd,priority:p0,sprint:2,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"MS-03 Implementar EMR Service (RCOP/SOAP)","Epic: Microsserviços\nPrioridade: P0\nSP: 13\nSprint alvo: Sprint 3\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 2\nDependências: MS-02\nCritério de aceite: Operações RCOP/SOAP disponíveis por API","Todo","epic:microservicos,priority:p0,sprint:3,sp:13","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"MS-04 Implementar Scheduling Service","Epic: Microsserviços\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 3\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 1\nDependências: MS-01\nCritério de aceite: Agendamento independente e funcional","Todo","epic:microservicos,priority:p0,sprint:3,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"CLN-01 Validação de completude SOAP","Epic: Dados Clínicos\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 3\nResponsável (papel): Clinical Product Engineer\nResponsável sugerido: Dev Backend 2\nDependências: MS-03\nCritério de aceite: Persistência bloqueia SOAP inválido","Todo","epic:dados-clinicos,priority:p0,sprint:3,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"MS-05 Implementar Audit Service","Epic: Microsserviços\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 4\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 3\nDependências: MS-01\nCritério de aceite: Eventos críticos auditáveis por usuário/operação","Todo","epic:microservicos,priority:p0,sprint:4,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"MS-06 Implementar Professional Service","Epic: Microsserviços\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 5\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 1\nDependências: MS-01\nCritério de aceite: Cadastro e consulta de profissionais com RBAC, auditoria e gateway","Todo","epic:microservicos,priority:p0,sprint:5,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"CLN-02 Integração CID/CIAP/SIGTAP","Epic: Dados Clínicos\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 4\nResponsável (papel): Clinical Product Engineer\nResponsável sugerido: Dev Backend 2\nDependências: CLN-01\nCritério de aceite: Código inválido rejeitado; logs de validação","Todo","epic:dados-clinicos,priority:p0,sprint:4,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"CLN-03 Histórico longitudinal por problema","Epic: Dados Clínicos\nPrioridade: P0\nSP: 5\nSprint alvo: Sprint 4\nResponsável (papel): Backend Engineer\nResponsável sugerido: Dev Backend 1\nDependências: MS-03\nCritério de aceite: Linha do tempo disponível por paciente/problema","Todo","epic:dados-clinicos,priority:p0,sprint:4,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"LGPD-01 Consentimento e base legal","Epic: Segurança/LGPD\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 4\nResponsável (papel): Privacy Officer\nResponsável sugerido: DPO\nDependências: SEC-01\nCritério de aceite: Consentimento criado/revogado com auditoria","Todo","epic:seguranca-lgpd,priority:p0,sprint:4,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"DOCKER-01 Dockerfile por serviço com usuário não-root","Epic: Conteinerização\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 5\nResponsável (papel): DevOps Engineer\nResponsável sugerido: DevOps 1\nDependências: MS-01, MS-02, MS-03, MS-04, MS-05\nCritério de aceite: Imagens buildam e sobem com healthcheck","Todo","epic:conteinerizacao,priority:p0,sprint:5,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"DOCKER-02 Docker Compose multi-serviço","Epic: Conteinerização\nPrioridade: P0\nSP: 5\nSprint alvo: Sprint 5\nResponsável (papel): DevOps Engineer\nResponsável sugerido: DevOps 1\nDependências: DOCKER-01\nCritério de aceite: Compose sobe gateway+serviços+bancos","Todo","epic:conteinerizacao,priority:p0,sprint:5,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
